artist,followers,popularity,offer
Ever Elsewhere,473,9,2000.0
Evers,0,0,2000.0
Every Hour Kills,3568,22,2000.0
Excuses Excuses,477,3,10000.0
Eyeami,293,3,2000.0
Ezra Jordan,2545,28,10000.0
F.R.O.S.T,0,0,3312.0
F.Scott,0,0,2000.0
FITZGERVLD,132,4,2000.0
FJØRA,5010,51,2000.0
FKB,28,2,1265.0
FLARA K,743,26,4898.0
FRANKIIE,1185,10,10971.0
FRANKYSELECTOR,0,0,6040.0
FRASE,2207,36,1635.0
Factor Eight,1363,17,2000.0
Fade Awaays,1353,12,2000.0
Fame Holiday,885,21,2000.0
Fancy Lady,14,0,2208.0
Fast Romantics,8775,25,80545.18
Fatal Switch,72,1,1380.0
Fawn Fritzen,76,4,9615.0
Fayne,608,7,2000.0
Felix Cartal,74447,66,9488.0
Fencehopper,0,0,2000.0
Fethi Nadjem,35,9,2000.0
Fidelak,17,0,2000.0
Field Guide,3452,47,29439.38
Fin Furey,340,4,2000.0
Finer/Haggart,0,0,2000.0
Fish Jones,0,0,2000.0
Five Alarm Funk,11045,31,25350.0
Fiver,1577,20,4744.0
Fiùran,255,4,2000.0
Fleshxfur,341,9,20000.0
Flight School,1519,38,54794.5
Flint & Feather,0,0,2875.0
Floral Marks,58,0,2000.0
Florian Hoefner,97,0,47464.0
Flower Face,35309,49,12000.0
Flowers Of Hell,0,0,2000.0
Fog Blues And Brass Band,49,0,2550.0
Fonkynson,1900,22,11010.61
For Jane,197,1,2000.0
Foreign Films,12,0,40000.0
ForeverForever,0,0,3725.0
Forthright,124,3,1723.73
Fortunate Ones,4718,40,26712.0
Fortunato,343,24,1035.0
Foxtrott,6156,29,2700.0
Foxwarren,27650,45,39830.0
Foxx Worthee,108,1,2000.0
Frail Hands,2427,15,1238.55
Francesco Yates,36584,66,8000.0
Francis Blvd.,27,0,2000.0
Francois Klark,5462,41,10000.0
Frank Horvat,114,9,46589.0
Frank Moyo,155,15,2000.0
Frank O'Sullivan,58,1,2000.0
Frazey Ford,52829,48,30000.0
Fredy V  & The Foundation,0,0,2000.0
Freedumb,506,11,13800.0
Freida Mari,480,13,2000.0
Fresh Breath,0,0,2000.0
Friendly Fables,58,4,19972.0
Fucked Up,55044,44,25163.0
Fuel Junkie,107,1,2243.0
Fungus,172,16,2000.0
G Body,906,24,10000.0
GALE,956,28,2000.0
GEARL,95,4,2000.0
GIVVEN,2697,55,2000.0
GRAE,37908,49,44192.42
Gabriela Bee,79596,45,39469.0
Gabrielle Papillon,1385,15,31036.5
Gabrielle Shonk,8036,30,1035.0
Gaia Guarda,119,1,2000.0
Gareth Inkster,0,0,2000.0
Garrett Gregory,0,0,2000.0
Garrett Kato,27840,55,5627.0
Garth Prince,43,1,2000.0
Gary Beals,360,14,10000.0
Gee Wunder,188,8,2616.0
Gene Darlene,0,0,2000.0
Geneviève Racette,1053,25,11035.0
Gentle Party,80,0,2000.0
Geoffroy,28501,54,22500.0
George Crotty,6,0,2000.0
Georgettte,0,0,2000.0
Georgia Lee Johnson,102,3,2000.0
Ghost Love,345,3,10000.0
Ghost Twin,1373,24,30446.0
Gianna Lauren,333,7,7008.0
Gillian Moranz,31,0,2000.0
Gillian Nicola,200,0,3553.0
Gimmemar,136,1,2000.0
Gina Burgess Music,0,0,2000.0
Ginalina,156,14,46443.9
Giselle Sanderson,0,0,2000.0
Gisto,685,20,23996.75
Giuseppe Lanni,426,32,12299.0
Gloin,219,2,1135.65
Glutenhead,247,4,2000.0
GodsConnect,0,0,8625.0
Gooch,499,31,8744.95
Good Advice,34,0,2000.0
Good Lovelies,7923,29,55570.0
Goodbye Honolulu,5452,30,22336.0
"Goodnight, Sunrise",697,5,11897.0
Gord Bamford,47109,51,79924.0
Gord Sinclair,636,8,10351.0
Gracie Willmer,0,0,2000.0
Graham Van Pelt,560,9,51586.0
Grandtheft,58434,46,40000.0
Grant Stewart,1203,10,7475.0
Great Lake Swimmers,67799,43,10378.75
Grier Munro,37,0,2000.0
Griffen Palmer,0,0,2000.0
Grimes,1412853,72,90525.0
Grüves,24,0,2000.0
Guidestones,196,1,2000.0
Gunner & Smith,207,1,6106.0
Gypsy Kumbia Orchestra,1307,12,24226.77
HAVS,305,11,2804.0
HAVYN,2900,11,2000.0
HAWA,0,0,2000.0
HAYZ,910,25,2000.0
HERDD,617,10,2000.0
HIGHS,2918,16,2000.0
HMLT,913,18,15815.62
HOAN,0,0,2000.0
HOFFEY,1602,31,5000.0
Hagiel,1,0,2000.0
Halcyon Gray,0,0,50000.0
Half Moon Run,240720,60,131075.49
Hannah Gazso,0,0,2000.0
Hannah Georgas,24964,41,34050.0
Hansom Eli,1373,34,3150.0
Harmonics,0,0,2000.0
Harry Stafylakis,19,0,8850.0
Harry Vetro's Northern Ranger,260,6,10000.0
Havelin,10299,42,9864.84
Haviah Mighty,6837,36,60095.880000000005
Hawkins & Lougheed,0,0,2000.0
Hayley Sales,3685,26,35000.0
Haze,5957,62,2000.0
Headless Nameless,20,0,18646.71
Heather J,0,0,4000.0
Heavy Hearts,3486,17,2000.0
Heavydive,103,0,1150.0
Helen Paradise,83,10,2000.0
Helena Deland,28287,48,35000.0
Hello Delaware,438,7,2070.0
Hello Victim,209,3,2000.0
Henry Nozuka,463,15,2000.0
Her Brothers,1535,16,1035.0
Hilario Duran,1814,28,40000.0
Hildegard,1714,34,5000.0
Hildegarde,234,7,2000.0
Hildeguard,0,0,3150.0
Hillsburn,2110,23,32855.99
Hiroki Tanaka,5,0,2000.0
Hogtown Brass Quintet,0,0,2000.0
Hollow Twin,126,0,2000.0
Holy Fuck,59669,51,27683.060000000005
HomeSick,836,8,2000.0
Homeshake,316628,58,13369.0
Honeymoon,788,8,2000.0
Honors,32792,47,42404.91
Hoozbah,110,0,2000.0
Hope,0,0,1380.0
Hopeful Sixteen,222,1,2000.0
Hot Garbage,683,7,3163.0
Hot Lips,255,3,2000.0
Hot Tub,916,17,2000.0
HotKid,2033,26,27505.0
Hotel Mira,14752,43,2000.0
Hour Daze,0,0,2000.0
House Art,92,0,2000.0
Hua Li化力,0,0,14535.0
Hunnah,5831,33,10000.0
Hunter Sheridan,255,21,2000.0
Hunting,0,0,29470.0
Hutchie,0,0,2000.0
Höhn,87,7,2000.0
I Am The Mountain,708,6,2000.0
I M U R,6552,40,40942.0
IN Veil,62,5,2000.0
Ian Foster,38,0,2000.0
Ian GIll,4,6,2000.0
Ian Kelly,841,21,20371.61
Ice Cream,6608,32,6969.0
Ice Tha One,109,12,2000.0
Idman Abdulkadir,0,0,2500.0
Incase We Crash,2777,27,2000.0
Indigo,0,0,2000.0
Infusion Baroque,80,3,12243.0
Intervals,139966,53,62042.0
Isaac Vallentin,381,9,1737.0
Isla Den,353,10,2000.0
Ivytide,7502,40,2000.0
Izra Fitch,176,0,2000.0
J.R. Proctor,58,1,2000.0
JASON BENOIT,5747,27,1495.0
JENNA Nation,4,0,1656.0
JESSIA,87095,65,10000.0
JJ Shiplett,4938,31,8732.0
JOYFULTALK,681,23,1552.0
JP Cormier,0,0,1380.0
JS Williams,18,0,2000.0
JSP,266,18,2000.0
JT Soul,826,17,29069.7
JULY.xi,0,0,1725.0
JYAY,2397,27,12664.0
Jaap Nico Hamburger,12,0,23442.38
Jack Pine and The Fire,182,2,2000.0
Jack Trades,2186,43,2352.35
Jackie,0,0,11725.0
Jackson MacIntosh,826,8,2000.0
Jacob Brodovsky,76,0,2000.0
Jacob Rose,59,0,2000.0
Jacques Greene,72492,47,16313.0
Jacqui Verellen,96,6,2000.0
Jacs,37,0,10000.0
Jade Eagleson,14410,51,20000.0
Jade Faith,2,6,2208.0
Jade The Moon,1291,22,16221.0
Jades Goudreault,11507,46,42816.75
Jaffa Road,243,7,33841.0
Jake Donaldson,568,4,10000.0
James Bailey_,0,0,2000.0
James Baley,391,23,2000.0
James Clayton,39,3,2000.0
James Keelahaghn,0,0,19363.0
James Matthew VII,535,14,7791.0
James McLeod,0,0,10000.0
James Parm,593,23,2000.0
Jamie Lee Trio,56,2,2000.0
Janay Thomas,18,0,2000.0
Jane Blanchard,130,0,2000.0
Jane Bunnett,1864,12,28919.75
Jane Inc.,1150,20,1765.0
Jane's Party,5065,33,5010.0
Jared Salte,134,7,2000.0
Jaron Chidiac,19,0,2000.0
Jarvis Church,952,20,25000.0
Jasmyn Burke,0,0,10000.0
